sentence,translate,divided_sentence,divided_sentence_with_ruby,sentence_with_ruby,level
お坊さんが突然大声で笑い出し、厳粛な雰囲気を台無しにした。,스님이 갑자기 큰 소리로 웃음을 터뜨려 엄숙한 분위기를 망쳤다.,"[""お坊さんが"", ""突然"", ""大声で"", ""笑い出し"", ""厳粛な"", ""雰囲気を"", ""台無しにした""]","[""お<ruby>坊<rp>(</rp><rt>ぼう</rt><rp>)</rp></ruby>さんが"", ""<ruby>突然<rp>(</rp><rt>とつぜん</rt><rp>)</rp></ruby>"", ""<ruby>大声<rp>(</rp><rt>おおごえ</rt><rp>)</rp></ruby>で"", ""<ruby>笑<rp>(</rp><rt>わら</rt><rp>)</rp></ruby>い<ruby>出<rp>(</rp><rt>だ</rt><rp>)</rp></ruby>し"", ""<ruby>厳粛<rp>(</rp><rt>げんしゅく</rt><rp>)</rp></ruby>な"", ""<ruby>雰囲気<rp>(</rp><rt>ふんいき</rt><rp>)</rp></ruby>を"", ""<ruby>台無<rp>(</rp><rt>だいな</rt><rp>)</rp></ruby>しにした""]",お<ruby>坊<rp>(</rp><rt>ぼう</rt><rp>)</rp></ruby>さんが<ruby>突然<rp>(</rp><rt>とつぜん</rt><rp>)</rp></ruby><ruby>大声<rp>(</rp><rt>おおごえ</rt><rp>)</rp></ruby>で<ruby>笑<rp>(</rp><rt>わら</rt><rp>)</rp></ruby>い<ruby>出<rp>(</rp><rt>だ</rt><rp>)</rp></ruby>し、<ruby>厳粛<rp>(</rp><rt>げんしゅく</rt><rp>)</rp></ruby>な<ruby>雰囲気<rp>(</rp><rt>ふんいき</rt><rp>)</rp></ruby>を<ruby>台無<rp>(</rp><rt>だいな</rt><rp>)</rp></ruby>しにした。,etc
彼らは教会内での厳粛な儀式を畏敬の念をもって見守った。,그들은 교회 안에서의 엄숙한 의식을 경외감을 가지고 지켜보았다.,"[""彼らは"", ""教会内での"", ""厳粛な"", ""儀式を"", ""畏敬の念をもって"", ""見守った。""]","[""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>らは"", ""<ruby>教会<rp>(</rp><rt>きょうかい</rt><rp>)</rp></ruby><ruby>内<rp>(</rp><rt>ない</rt><rp>)</rp></ruby>での"", ""<ruby>厳粛<rp>(</rp><rt>げんしゅく</rt><rp>)</rp></ruby>な"", ""<ruby>儀式<rp>(</rp><rt>ぎしき</rt><rp>)</rp></ruby>を"", ""<ruby>畏敬<rp>(</rp><rt>いけい</rt><rp>)</rp></ruby>の<ruby>念<rp>(</rp><rt>ねん</rt><rp>)</rp></ruby>をもって"", ""<ruby>見守<rp>(</rp><rt>みまも</rt><rp>)</rp></ruby>った。""]",<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>らは<ruby>教会<rp>(</rp><rt>きょうかい</rt><rp>)</rp></ruby><ruby>内<rp>(</rp><rt>ない</rt><rp>)</rp></ruby>での<ruby>厳粛<rp>(</rp><rt>げんしゅく</rt><rp>)</rp></ruby>な<ruby>儀式<rp>(</rp><rt>ぎしき</rt><rp>)</rp></ruby>を<ruby>畏敬<rp>(</rp><rt>いけい</rt><rp>)</rp></ruby>の<ruby>念<rp>(</rp><rt>ねん</rt><rp>)</rp></ruby>をもって<ruby>見守<rp>(</rp><rt>みまも</rt><rp>)</rp></ruby>った。,etc
それは愚問ですよ。,그것은 어리석은 질문입니다.,"[""それは"", ""愚問"", ""です"", ""よ""]","[""それは"", ""<ruby>愚問<rp>(</rp><rt>ぐもん</rt><rp>)</rp></ruby>"", ""です"", ""よ""]",それは<ruby>愚問<rp>(</rp><rt>ぐもん</rt><rp>)</rp></ruby>ですよ。,N1
ども、愚弟がお世話になってるようで。,"안녕하세요, 제 어리석은 동생이 신세를 지고 있는 것 같네요.","[""ども"", ""愚弟が"", ""お世話に"", ""なってる"", ""ようで""]","[""ども"", ""<ruby>愚弟<rp>(</rp><rt>ぐてい</rt><rp>)</rp></ruby>が"", ""お<ruby>世話<rp>(</rp><rt>せわ</rt><rp>)</rp></ruby>に"", ""なってる"", ""ようで""]",ども、<ruby>愚弟<rp>(</rp><rt>ぐてい</rt><rp>)</rp></ruby>がお<ruby>世話<rp>(</rp><rt>せわ</rt><rp>)</rp></ruby>になってるようで。,etc
妻はいつも愚痴ばかりこぼしている。,아내는 늘 불평만 늘어놓는다.,"[""妻は"", ""いつも"", ""愚痴ばかり"", ""こぼしている。""]","[""<ruby>妻<rp>(</rp><rt>つま</rt><rp>)</rp></ruby>は"", ""いつも"", ""<ruby>愚痴<rp>(</rp><rt>ぐち</rt><rp>)</rp></ruby>ばかり"", ""こぼしている。""]",<ruby>妻<rp>(</rp><rt>つま</rt><rp>)</rp></ruby>はいつも<ruby>愚痴<rp>(</rp><rt>ぐち</rt><rp>)</rp></ruby>ばかりこぼしている。,etc
彼らは山で遭難した。,그들은 산에서 조난당했다.,"[""彼らは"", ""山で"", ""遭難した。""]","[""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>らは"", ""<ruby>山<rp>(</rp><rt>やま</rt><rp>)</rp></ruby>で"", ""<ruby>遭難<rp>(</rp><rt>そうなん</rt><rp>)</rp></ruby>した。""]",<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>らは<ruby>山<rp>(</rp><rt>やま</rt><rp>)</rp></ruby>で<ruby>遭難<rp>(</rp><rt>そうなん</rt><rp>)</rp></ruby>した。,N1
竜は架空の動物だ。,용은 가상의 동물이다.,"[""竜は"", ""架空の"", ""動物だ。""]","[""<ruby>竜<rp>(</rp><rt>りゅう</rt><rp>)</rp></ruby>は"", ""<ruby>架空<rp>(</rp><rt>かくう</rt><rp>)</rp></ruby>の"", ""<ruby>動物<rp>(</rp><rt>どうぶつ</rt><rp>)</rp></ruby>だ。""]",<ruby>竜<rp>(</rp><rt>りゅう</rt><rp>)</rp></ruby>は<ruby>架空<rp>(</rp><rt>かくう</rt><rp>)</rp></ruby>の<ruby>動物<rp>(</rp><rt>どうぶつ</rt><rp>)</rp></ruby>だ。,N2
書架の本は１冊残らず全部読みました。,서가의 책은 한 권도 빠짐없이 전부 읽었습니다.,"[""書架の本は"", ""１冊残らず"", ""全部"", ""読みました。""]","[""<ruby>書架<rp>(</rp><rt>しょか</rt><rp>)</rp></ruby>の<ruby>本<rp>(</rp><rt>ほん</rt><rp>)</rp></ruby>は"", ""１<ruby>冊<rp>(</rp><rt>さつ</rt><rp>)</rp></ruby><ruby>残<rp>(</rp><rt>のこ</rt><rp>)</rp></ruby>らず"", ""<ruby>全部<rp>(</rp><rt>ぜんぶ</rt><rp>)</rp></ruby>"", ""<ruby>読<rp>(</rp><rt>よ</rt><rp>)</rp></ruby>みました。""]",<ruby>書架<rp>(</rp><rt>しょか</rt><rp>)</rp></ruby>の<ruby>本<rp>(</rp><rt>ほん</rt><rp>)</rp></ruby>は１<ruby>冊<rp>(</rp><rt>さつ</rt><rp>)</rp></ruby><ruby>残<rp>(</rp><rt>のこ</rt><rp>)</rp></ruby>らず<ruby>全部<rp>(</rp><rt>ぜんぶ</rt><rp>)</rp></ruby><ruby>読<rp>(</rp><rt>よ</rt><rp>)</rp></ruby>みました。,etc
そこに立った彼はあたかも悪鬼のようだった。,그곳에 서 있는 그는 마치 악귀 같았다.,"[""そこに"", ""立った"", ""彼は"", ""あたかも"", ""悪鬼のようだった""]","[""そこに"", ""<ruby>立<rp>(</rp><rt>た</rt><rp>)</rp></ruby>った"", ""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は"", ""あたかも"", ""<ruby>悪鬼<rp>(</rp><rt>あっき</rt><rp>)</rp></ruby>のようだった""]",そこに<ruby>立<rp>(</rp><rt>た</rt><rp>)</rp></ruby>った<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>はあたかも<ruby>悪鬼<rp>(</rp><rt>あっき</rt><rp>)</rp></ruby>のようだった。,etc
鬼ごっこしよう。,술래잡기 하자.,"[""鬼ごっこ"", ""しよう。""]","[""<ruby>鬼<rp>(</rp><rt>おに</rt><rp>)</rp></ruby>ごっこ"", ""しよう。""]",<ruby>鬼<rp>(</rp><rt>おに</rt><rp>)</rp></ruby>ごっこしよう。,etc
庶民のなりわいは、米をつくることだった。,서민들의 생업은 쌀을 재배하는 것이었다.,"[""庶民の"", ""なりわいは、"", ""米を"", ""つくることだった。""]","[""<ruby>庶民<rp>(</rp><rt>しょみん</rt><rp>)</rp></ruby>の"", ""なりわいは、"", ""<ruby>米<rp>(</rp><rt>こめ</rt><rp>)</rp></ruby>を"", ""つくることだった。""]",<ruby>庶民<rp>(</rp><rt>しょみん</rt><rp>)</rp></ruby>のなりわいは、<ruby>米<rp>(</rp><rt>こめ</rt><rp>)</rp></ruby>をつくることだった。,N1
どんなに焦っても庶務的な仕事がどんどん溜まってきて追いつかない。,아무리 서둘러도 잡무가 계속 쌓여서 따라잡을 수가 없다.,"[""どんなに"", ""焦っても"", ""庶務的な"", ""仕事が"", ""どんどん"", ""溜まってきて"", ""追いつかない。""]","[""どんなに"", ""<ruby>焦<rp>(</rp><rt>あせ</rt><rp>)</rp></ruby>っても"", ""<ruby>庶務<rp>(</rp><rt>しょむ</rt><rp>)</rp></ruby><ruby>的<rp>(</rp><rt>てき</rt><rp>)</rp></ruby>な"", ""<ruby>仕事<rp>(</rp><rt>しごと</rt><rp>)</rp></ruby>が"", ""どんどん"", ""<ruby>溜<rp>(</rp><rt>た</rt><rp>)</rp></ruby>まってきて"", ""<ruby>追<rp>(</rp><rt>お</rt><rp>)</rp></ruby>いつかない。""]",どんなに<ruby>焦<rp>(</rp><rt>あせ</rt><rp>)</rp></ruby>っても<ruby>庶務<rp>(</rp><rt>しょむ</rt><rp>)</rp></ruby><ruby>的<rp>(</rp><rt>てき</rt><rp>)</rp></ruby>な<ruby>仕事<rp>(</rp><rt>しごと</rt><rp>)</rp></ruby>がどんどん<ruby>溜<rp>(</rp><rt>た</rt><rp>)</rp></ruby>まってきて<ruby>追<rp>(</rp><rt>お</rt><rp>)</rp></ruby>いつかない。,N1
彼は幼稚園に通っている。,그는 유치원에 다니고 있다.,"[""彼は"", ""幼稚園に"", ""通っている""]","[""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は"", ""<ruby>幼稚園<rp>(</rp><rt>ようちえん</rt><rp>)</rp></ruby>に"", ""<ruby>通<rp>(</rp><rt>かよ</rt><rp>)</rp></ruby>っている""]",<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は<ruby>幼稚園<rp>(</rp><rt>ようちえん</rt><rp>)</rp></ruby>に<ruby>通<rp>(</rp><rt>かよ</rt><rp>)</rp></ruby>っている。,N2
幻想の命は短い。,환상의 수명은 짧다.,"[""幻想の"", ""命は"", ""短い。""]","[""<ruby>幻想<rp>(</rp><rt>げんそう</rt><rp>)</rp></ruby>の"", ""<ruby>命<rp>(</rp><rt>いのち</rt><rp>)</rp></ruby>は"", ""<ruby>短<rp>(</rp><rt>みじか</rt><rp>)</rp></ruby>い。""]",<ruby>幻想<rp>(</rp><rt>げんそう</rt><rp>)</rp></ruby>の<ruby>命<rp>(</rp><rt>いのち</rt><rp>)</rp></ruby>は<ruby>短<rp>(</rp><rt>みじか</rt><rp>)</rp></ruby>い。,N1
哺乳瓶は煮沸消毒すること。,젖병은 끓여서 소독해야 한다.,"[""哺乳瓶は"", ""煮沸消毒する"", ""こと。""]","[""<ruby>哺乳<rp>(</rp><rt>ほにゅう</rt><rp>)</rp></ruby><ruby>瓶<rp>(</rp><rt>びん</rt><rp>)</rp></ruby>は"", ""<ruby>煮沸<rp>(</rp><rt>しゃふつ</rt><rp>)</rp></ruby><ruby>消毒<rp>(</rp><rt>しょうどく</rt><rp>)</rp></ruby>する"", ""こと。""]",<ruby>哺乳<rp>(</rp><rt>ほにゅう</rt><rp>)</rp></ruby><ruby>瓶<rp>(</rp><rt>びん</rt><rp>)</rp></ruby>は<ruby>煮沸<rp>(</rp><rt>しゃふつ</rt><rp>)</rp></ruby><ruby>消毒<rp>(</rp><rt>しょうどく</rt><rp>)</rp></ruby>すること。,etc
姫路駅で降りなさい。,히메지역에서 내리세요.,"[""姫路駅で"", ""降りなさい。""]","[""<ruby>姫路<rp>(</rp><rt>ひめじ</rt><rp>)</rp></ruby><ruby>駅<rp>(</rp><rt>えき</rt><rp>)</rp></ruby>で"", ""<ruby>降<rp>(</rp><rt>ふ</rt><rp>)</rp></ruby>りなさい。""]",<ruby>姫路<rp>(</rp><rt>ひめじ</rt><rp>)</rp></ruby><ruby>駅<rp>(</rp><rt>えき</rt><rp>)</rp></ruby>で<ruby>降<rp>(</rp><rt>ふ</rt><rp>)</rp></ruby>りなさい。,etc
理論と実践が伴うとは限らない。,이론과 실천이 반드시 함께하는 것은 아니다.,"[""理論と"", ""実践が"", ""伴うとは"", ""限らない。""]","[""<ruby>理論<rp>(</rp><rt>りろん</rt><rp>)</rp></ruby>と"", ""<ruby>実践<rp>(</rp><rt>じっせん</rt><rp>)</rp></ruby>が"", ""<ruby>伴<rp>(</rp><rt>ともな</rt><rp>)</rp></ruby>うとは"", ""<ruby>限<rp>(</rp><rt>かぎ</rt><rp>)</rp></ruby>らない。""]",<ruby>理論<rp>(</rp><rt>りろん</rt><rp>)</rp></ruby>と<ruby>実践<rp>(</rp><rt>じっせん</rt><rp>)</rp></ruby>が<ruby>伴<rp>(</rp><rt>ともな</rt><rp>)</rp></ruby>うとは<ruby>限<rp>(</rp><rt>かぎ</rt><rp>)</rp></ruby>らない。,N1
贈呈品としていただきました。,증정품으로 받았습니다.,"[""贈呈品として"", ""いただきました。""]","[""<ruby>贈呈<rp>(</rp><rt>ぞうてい</rt><rp>)</rp></ruby><ruby>品<rp>(</rp><rt>ひん</rt><rp>)</rp></ruby>として"", ""いただきました。""]",<ruby>贈呈<rp>(</rp><rt>ぞうてい</rt><rp>)</rp></ruby><ruby>品<rp>(</rp><rt>ひん</rt><rp>)</rp></ruby>としていただきました。,etc
今でもフランス語で上手く意思の疎通ができないの？,지금도 프랑스어로 의사소통이 잘 안 돼?,"[""今でも"", ""フランス語で"", ""上手く"", ""意思の疎通が"", ""できないの？""]","[""<ruby>今<rp>(</rp><rt>いま</rt><rp>)</rp></ruby>でも"", ""フランス<ruby>語<rp>(</rp><rt>ご</rt><rp>)</rp></ruby>で"", ""<ruby>上手<rp>(</rp><rt>うま</rt><rp>)</rp></ruby>く"", ""<ruby>意思<rp>(</rp><rt>いし</rt><rp>)</rp></ruby>の<ruby>疎通<rp>(</rp><rt>そつう</rt><rp>)</rp></ruby>が"", ""できないの？""]",<ruby>今<rp>(</rp><rt>いま</rt><rp>)</rp></ruby>でもフランス<ruby>語<rp>(</rp><rt>ご</rt><rp>)</rp></ruby>で<ruby>上手<rp>(</rp><rt>うま</rt><rp>)</rp></ruby>く<ruby>意思<rp>(</rp><rt>いし</rt><rp>)</rp></ruby>の<ruby>疎通<rp>(</rp><rt>そつう</rt><rp>)</rp></ruby>ができないの？,etc
言語によって私たちはお互いに意思疎通をはかっている。,우리는 언어를 통해 서로 의사소통을 하고 있다.,"[""言語によって"", ""私たちは"", ""お互いに"", ""意思疎通を"", ""はかっている。""]","[""<ruby>言語<rp>(</rp><rt>げんご</rt><rp>)</rp></ruby>によって"", ""<ruby>私<rp>(</rp><rt>わたし</rt><rp>)</rp></ruby>たちは"", ""お<ruby>互<rp>(</rp><rt>たが</rt><rp>)</rp></ruby>いに"", ""<ruby>意思<rp>(</rp><rt>いし</rt><rp>)</rp></ruby><ruby>疎通<rp>(</rp><rt>そつう</rt><rp>)</rp></ruby>を"", ""はかっている。""]",<ruby>言語<rp>(</rp><rt>げんご</rt><rp>)</rp></ruby>によって<ruby>私<rp>(</rp><rt>わたし</rt><rp>)</rp></ruby>たちはお<ruby>互<rp>(</rp><rt>たが</rt><rp>)</rp></ruby>いに<ruby>意思<rp>(</rp><rt>いし</rt><rp>)</rp></ruby><ruby>疎通<rp>(</rp><rt>そつう</rt><rp>)</rp></ruby>をはかっている。,etc
私はその結果に仰天した。,나는 그 결과에 깜짝 놀랐다.,"[""私は"", ""その"", ""結果に"", ""仰天した。""]","[""<ruby>私<rp>(</rp><rt>わたし</rt><rp>)</rp></ruby>は"", ""その"", ""<ruby>結果<rp>(</rp><rt>けっか</rt><rp>)</rp></ruby>に"", ""<ruby>仰天<rp>(</rp><rt>ぎょうてん</rt><rp>)</rp></ruby>した。""]",<ruby>私<rp>(</rp><rt>わたし</rt><rp>)</rp></ruby>はその<ruby>結果<rp>(</rp><rt>けっか</rt><rp>)</rp></ruby>に<ruby>仰天<rp>(</rp><rt>ぎょうてん</rt><rp>)</rp></ruby>した。,etc
信仰は山をも動かす。,믿음은 산도 움직인다.,"[""信仰は"", ""山をも"", ""動かす。""]","[""<ruby>信仰<rp>(</rp><rt>しんこう</rt><rp>)</rp></ruby>は"", ""<ruby>山<rp>(</rp><rt>やま</rt><rp>)</rp></ruby>をも"", ""<ruby>動<rp>(</rp><rt>うご</rt><rp>)</rp></ruby>かす。""]",<ruby>信仰<rp>(</rp><rt>しんこう</rt><rp>)</rp></ruby>は<ruby>山<rp>(</rp><rt>やま</rt><rp>)</rp></ruby>をも<ruby>動<rp>(</rp><rt>うご</rt><rp>)</rp></ruby>かす。,N2
この疾病の要因は、ストレスです。,이 질병의 요인은 스트레스입니다.,"[""この"", ""疾病の"", ""要因は"", ""ストレスです。""]","[""この"", ""<ruby>疾病<rp>(</rp><rt>しっぺい</rt><rp>)</rp></ruby>の"", ""<ruby>要因<rp>(</rp><rt>よういん</rt><rp>)</rp></ruby>は"", ""ストレスです。""]",この<ruby>疾病<rp>(</rp><rt>しっぺい</rt><rp>)</rp></ruby>の<ruby>要因<rp>(</rp><rt>よういん</rt><rp>)</rp></ruby>は、ストレスです。,N1
１台のトラックが道路を疾走していた。,트럭 한 대가 도로를 질주하고 있었다.,"[""１台のトラックが"", ""道路を"", ""疾走していた。""]","[""１<ruby>台<rp>(</rp><rt>だい</rt><rp>)</rp></ruby>のトラックが"", ""<ruby>道路<rp>(</rp><rt>どうろ</rt><rp>)</rp></ruby>を"", ""<ruby>疾走<rp>(</rp><rt>しっそう</rt><rp>)</rp></ruby>していた。""]",１<ruby>台<rp>(</rp><rt>だい</rt><rp>)</rp></ruby>のトラックが<ruby>道路<rp>(</rp><rt>どうろ</rt><rp>)</rp></ruby>を<ruby>疾走<rp>(</rp><rt>しっそう</rt><rp>)</rp></ruby>していた。,etc
これが、いわゆるノルマン征服である。,이것이 이른바 노르만 정복이다.,"[""これが"", ""いわゆる"", ""ノルマン征服である""]","[""これが"", ""いわゆる"", ""ノルマン<ruby>征服<rp>(</rp><rt>せいふく</rt><rp>)</rp></ruby>である""]",これが、いわゆるノルマン<ruby>征服<rp>(</rp><rt>せいふく</rt><rp>)</rp></ruby>である。,N1
私たちは遠征試合でほとんど負けてしまった。,우리는 원정 경기에서 거의 다 졌다.,"[""私たちは"", ""遠征試合で"", ""ほとんど"", ""負けてしまった。""]","[""<ruby>私<rp>(</rp><rt>わたし</rt><rp>)</rp></ruby>たちは"", ""<ruby>遠征<rp>(</rp><rt>えんせい</rt><rp>)</rp></ruby><ruby>試合<rp>(</rp><rt>しあい</rt><rp>)</rp></ruby>で"", ""ほとんど"", ""<ruby>負<rp>(</rp><rt>ま</rt><rp>)</rp></ruby>けてしまった。""]",<ruby>私<rp>(</rp><rt>わたし</rt><rp>)</rp></ruby>たちは<ruby>遠征<rp>(</rp><rt>えんせい</rt><rp>)</rp></ruby><ruby>試合<rp>(</rp><rt>しあい</rt><rp>)</rp></ruby>でほとんど<ruby>負<rp>(</rp><rt>ま</rt><rp>)</rp></ruby>けてしまった。,etc
何か重い兇器でやられたらしく、頭蓋骨は粉砕された。,"무언가 무거운 흉기로 공격당한 듯, 두개골이 산산조각 났다.","[""何か"", ""重い兇器で"", ""やられたらしく"", ""頭蓋骨は"", ""粉砕された""]","[""<ruby>何<rp>(</rp><rt>なに</rt><rp>)</rp></ruby>か"", ""<ruby>重<rp>(</rp><rt>おも</rt><rp>)</rp></ruby>い<ruby>兇器<rp>(</rp><rt>きょうき</rt><rp>)</rp></ruby>で"", ""やられたらしく"", ""<ruby>頭蓋骨<rp>(</rp><rt>ずがいこつ</rt><rp>)</rp></ruby>は"", ""<ruby>粉砕<rp>(</rp><rt>ふんさい</rt><rp>)</rp></ruby>された""]",<ruby>何<rp>(</rp><rt>なに</rt><rp>)</rp></ruby>か<ruby>重<rp>(</rp><rt>おも</rt><rp>)</rp></ruby>い<ruby>兇器<rp>(</rp><rt>きょうき</rt><rp>)</rp></ruby>でやられたらしく、<ruby>頭蓋骨<rp>(</rp><rt>ずがいこつ</rt><rp>)</rp></ruby>は<ruby>粉砕<rp>(</rp><rt>ふんさい</rt><rp>)</rp></ruby>された。,etc
彼は、オペラはもちろんのこと、童謡すら歌えない。,그는 오페라는 물론 동요조차도 부를 수 없다.,"[""彼は"", ""オペラはもちろんのこと"", ""童謡すら"", ""歌えない""]","[""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は"", ""オペラはもちろんのこと"", ""<ruby>童謡<rp>(</rp><rt>どうよう</rt><rp>)</rp></ruby>すら"", ""<ruby>歌<rp>(</rp><rt>うた</rt><rp>)</rp></ruby>えない""]",<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は、オペラはもちろんのこと、<ruby>童謡<rp>(</rp><rt>どうよう</rt><rp>)</rp></ruby>すら<ruby>歌<rp>(</rp><rt>うた</rt><rp>)</rp></ruby>えない。,N2
兄が民謡に興味を抱き始めたのは十二歳ごろだった。,형이 민요에 관심을 갖기 시작한 것은 열두 살 무렵이었다.,"[""兄が"", ""民謡に"", ""興味を"", ""抱き始めたのは"", ""十二歳ごろだった。""]","[""<ruby>兄<rp>(</rp><rt>あに</rt><rp>)</rp></ruby>が"", ""<ruby>民謡<rp>(</rp><rt>みんよう</rt><rp>)</rp></ruby>に"", ""<ruby>興味<rp>(</rp><rt>きょうみ</rt><rp>)</rp></ruby>を"", ""<ruby>抱<rp>(</rp><rt>いだ</rt><rp>)</rp></ruby>き<ruby>始<rp>(</rp><rt>はじ</rt><rp>)</rp></ruby>めたのは"", ""<ruby>十<rp>(</rp><rt>じゅう</rt><rp>)</rp></ruby><ruby>二<rp>(</rp><rt>に</rt><rp>)</rp></ruby><ruby>歳<rp>(</rp><rt>さい</rt><rp>)</rp></ruby>ごろだった。""]",<ruby>兄<rp>(</rp><rt>あに</rt><rp>)</rp></ruby>が<ruby>民謡<rp>(</rp><rt>みんよう</rt><rp>)</rp></ruby>に<ruby>興味<rp>(</rp><rt>きょうみ</rt><rp>)</rp></ruby>を<ruby>抱<rp>(</rp><rt>いだ</rt><rp>)</rp></ruby>き<ruby>始<rp>(</rp><rt>はじ</rt><rp>)</rp></ruby>めたのは<ruby>十<rp>(</rp><rt>じゅう</rt><rp>)</rp></ruby><ruby>二<rp>(</rp><rt>に</rt><rp>)</rp></ruby><ruby>歳<rp>(</rp><rt>さい</rt><rp>)</rp></ruby>ごろだった。,N2
最近は皆が歌えるような歌謡曲を聞くこともなくなった。,요즘은 모두가 따라 부를 만한 가요를 듣는 일도 없어졌다.,"[""最近は"", ""皆が"", ""歌えるような"", ""歌謡曲を"", ""聞くことも"", ""なくなった""]","[""<ruby>最近<rp>(</rp><rt>さいきん</rt><rp>)</rp></ruby>は"", ""<ruby>皆<rp>(</rp><rt>みな</rt><rp>)</rp></ruby>が"", ""<ruby>歌<rp>(</rp><rt>うた</rt><rp>)</rp></ruby>えるような"", ""<ruby>歌<rp>(</rp><rt>うた</rt><rp>)</rp></ruby>謡<ruby>曲<rp>(</rp><rt>きょく</rt><rp>)</rp></ruby>を"", ""<ruby>聞<rp>(</rp><rt>き</rt><rp>)</rp></ruby>くことも"", ""なくなった""]",<ruby>最近<rp>(</rp><rt>さいきん</rt><rp>)</rp></ruby>は<ruby>皆<rp>(</rp><rt>みな</rt><rp>)</rp></ruby>が<ruby>歌<rp>(</rp><rt>うた</rt><rp>)</rp></ruby>えるような<ruby>歌謡<rp>(</rp><rt>かよう</rt><rp>)</rp></ruby><ruby>曲<rp>(</rp><rt>きょく</rt><rp>)</rp></ruby>を<ruby>聞<rp>(</rp><rt>き</rt><rp>)</rp></ruby>くこともなくなった。,N2
ジョンは責任を他人に転嫁する。,존은 책임을 남에게 전가한다.,"[""ジョンは"", ""責任を"", ""他人に"", ""転嫁する""]","[""ジョンは"", ""<ruby>責任<rp>(</rp><rt>せきにん</rt><rp>)</rp></ruby>を"", ""<ruby>他人<rp>(</rp><rt>たにん</rt><rp>)</rp></ruby>に"", ""<ruby>転嫁<rp>(</rp><rt>てんか</rt><rp>)</rp></ruby>する""]",ジョンは<ruby>責任<rp>(</rp><rt>せきにん</rt><rp>)</rp></ruby>を<ruby>他人<rp>(</rp><rt>たにん</rt><rp>)</rp></ruby>に<ruby>転嫁<rp>(</rp><rt>てんか</rt><rp>)</rp></ruby>する。,etc
